Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Acumulado,Promedio
"Romero, Sebastián",VOL,QUI,3400000,5,6,7,4,4,2,5,5,6,4,6,3,5,5,3,70,4.67
"Desábato, Leandro",DEF,EST,4700000,4,3,5,5,6,0,8,6,3,5,8,3,5,5,4,70,5
"Sánchez, Nicolás",DEF,GOD,4800000,6,6,4,4,6,4,7,6,7,3,0,4,5,4,4,70,5
"Melano, Lucas",DEL,BEL,1000000,10,5,6,4,5,3,4,6,2,7,6,5,0,6,0,69,5.31
"Vizcarrondo, Oswaldo",DEF,LAN,3700000,0,4,6,4,5,0,8,7,2,6,5,7,8,7,0,69,5.75
"Ahumada, Oscar",VOL,ALB,4000000,3,5,5,4,9,5,0,6,6,5,4,0,6,4,7,69,5.31
"Moreno y Fabianesi, Iván",VOL,COL,5000000,13,5,6,10,6,5,6,2,0,4,1,0,6,5,0,69,5.75
"Villar, Justo",ARQ,EST,5300000,5,3,9,2,5,0,10,5,4,4,9,4,2,4,3,69,4.93
"Burdisso, Guillermo",DEF,BOC,6100000,0,0,16,0,7,6,0,0,6,5,7,2,6,6,8,69,6.9
"Ftacla, Diego",DEL,TIG,1300000,0,0,10,10,5,10,5,5,5,5,5,0,4,4,0,68,6.18
"Lértora, Federico",VOL,GOD,2900000,0,6,6,0,5,4,5,5,6,0,6,6,12,4,3,68,5.67
"Zapata, Duván",DEL,EST,3000000,0,0,5,0,0,0,0,0,0,15,5,3,10,20,10,68,9.71
"Orban, Lucas",DEF,TIG,3800000,0,6,15,5,6,3,0,2,8,8,6,0,0,5,3,67,6.09
"Cobo, Juan M.",VOL,QUI,2500000,6,6,5,5,0,0,0,0,4,5,5,3,17,5,5,66,6
"Aveldaño, Lucas",DEF,BEL,3000000,0,0,0,7,0,8,7,7,4,6,5,5,3,7,7,66,6
"Raldes, Ronald",DEF,COL,3500000,8,8,3,0,5,0,6,5,5,4,5,6,5,6,0,66,5.5
"Grazzini, Sebastián",VOL,ATR,3800000,0,0,0,6,4,15,3,5,7,5,7,0,6,4,4,66,6
"González, Federico",DEL,ATR,4000000,4,5,5,5,5,5,5,6,5,4,2,6,0,4,5,66,4.71
"Ortiz, Jorge",VOL,ARS,4600000,6,3,4,4,4,5,5,4,0,5,10,6,0,5,5,66,5.08
"Pelletieri, Agustín",VOL,RAC,4800000,4,4,7,6,8,3,5,6,4,5,2,4,4,4,0,66,4.71
"Villar, Diego",VOL,RAC,5300000,6,6,7,0,4,5,5,3,6,3,5,2,4,5,5,66,4.71
"Vangioni, Leonel",VOL,NOB,3500000,5,4,5,6,3,6,6,5,5,6,3,3,3,0,5,65,4.64
"Echeverría, Mariano",DEF,TIG,6200000,4,6,4,6,5,4,6,2,6,0,6,0,6,5,5,65,5
"Juárez, Iván",VOL,ATR,3000000,3,4,5,12,5,3,4,0,5,1,5,11,3,3,0,64,4.92
"Ferro, Raúl",VOL,ATR,3500000,0,0,6,10,6,4,6,4,6,3,4,3,2,5,5,64,4.92
"Battión, Roberto",VOL,IND,3500000,4,6,0,5,0,4,6,6,4,8,7,0,5,4,5,64,5.33
"Garcé, Ariel",DEF,ARG,4000000,3,2,5,5,6,3,7,2,0,8,5,5,2,6,5,64,4.57
"Rodríguez, Maximiliano R.",VOL,NOB,9000000,5,5,0,7,6,0,6,5,5,12,0,0,3,5,5,64,5.82
"Corvalán, Claudio",DEF,RAC,3000000,5,7,8,2,5,4,3,0,7,7,5,2,1,0,7,63,4.85
"Garnier, Pablo",VOL,QUI,3300000,13,6,12,5,5,6,5,2,5,4,0,0,0,0,0,63,6.3
"Nervo, Hugo M.",DEF,ARS,4000000,5,5,1,5,7,4,4,3,3,7,7,4,3,5,0,63,4.5
"Sabia, Juan",DEF,ARG,4100000,4,4,4,3,8,4,5,2,3,6,0,4,4,7,5,63,4.5
"Alderete, Andrés",VOL,SMA,3000000,0,6,4,3,3,6,5,6,4,6,4,5,6,4,0,62,4.77
"Eluchans, Juan",VOL,ATR,3100000,4,3,3,5,4,12,5,5,4,3,0,0,5,5,4,62,4.77
"Castillón, Facundo",DEL,GOD,3100000,6,4,7,4,5,6,5,5,5,4,0,0,6,5,0,62,5.17
