"Trípodi, Emanuel",ARQ,QUI,3500000,2,5,9,2,4,9,8,8,0,10,4,2,6,69,5.31
"Franzoia, Andrés",DEL,UNI,3600000,5,13,3,6,0,24,5,2,6,4,1,0,0,69,6.9
"Morel Rodríguez, Claudio",DEF,IND,4300000,5,7,9,3,4,7,16,-1,0,0,6,6,7,69,6.27
"Figueroa, Víctor",VOL,NEW,4600000,6,4,5,5,15,3,5,5,12,4,0,5,0,69,6.27
"González, Diego",VOL,LAN,2500000,7,7,7,5,6,4,4,4,5,6,4,3,6,68,5.23
"Vangioni, Leonel",VOL,RIV,4200000,19,4,3,2,7,3,6,6,3,0,6,3,6,68,5.67
"Cahais, Matías",DEF,RAC,4800000,4,8,3,0,8,5,7,5,4,5,4,7,8,68,5.67
"Mercado, Gabriel",DEF,RIV,5000000,5,8,3,4,5,4,7,8,5,5,5,2,7,68,5.23
"Ferrari, Jonathan",DEF,ALB,3000000,4,5,8,2,5,3,4,8,6,5,7,5,5,67,5.15
"Carniello, Oscar",DEF,ATR,3500000,8,7,2,3,0,0,8,5,7,8,5,6,8,67,6.09
"Bolatti, Mario",VOL,RAC,5600000,6,7,3,4,6,4,3,3,7,11,6,4,3,67,5.15
"Donatti, Alejandro",DEF,TIG,3400000,16,7,16,5,7,0,0,3,0,7,0,2,3,66,7.33
"Lértora, Federico",VOL,GOD,3500000,5,6,11,7,5,0,3,3,5,3,5,7,6,66,5.5
"Correa, Nicolás",DEF,UNI,4500000,6,4,0,6,5,6,3,7,5,8,4,6,6,66,5.5
"Pillud, Iván",DEF,RAC,4600000,3,8,0,6,6,5,7,2,6,5,5,6,7,66,5.5
"Orion, Agustín",ARQ,BOC,5300000,9,9,0,1,0,3,14,10,0,10,5,5,0,66,7.33
"Braghieri, Diego",DEF,ARS,3900000,10,0,0,9,4,0,15,7,5,3,0,8,4,65,7.22
"Ibáñez, Nelson",ARQ,GOD,4200000,4,3,2,0,13,5,3,9,8,1,4,9,4,65,5.42
"Vergini, Santiago",DEF,NEW,4800000,6,5,5,0,0,8,8,0,15,5,6,2,5,65,6.5
"Velázquez, Jorge",VOL,BEL,4900000,5,5,3,5,3,15,4,5,5,4,4,2,5,65,5
"Rojas, Ariel",VOL,RIV,5000000,6,12,6,4,5,4,0,6,6,5,6,0,5,65,5.91
"Blanco, Ismael",DEL,LAN,5300000,12,7,5,5,10,5,4,4,4,4,0,0,5,65,5.91
