Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Acumulado,Promedio
"Pavone, Mariano",DEL,LAN,6200000,16,0,4,6,0,0,11,0,4,6,6,11,0,12,2,10,4,5,97,7.46
"Goltz, Paolo D.",DEF,LAN,4700000,6,9,4,3,0,0,16,0,5,8,8,7,0,6,3,6,4,7,92,6.57
"Papa, Emiliano",DEF,VEL,4900000,6,10,6,8,7,4,0,8,5,6,5,7,5,7,0,6,6,4,100,6.25
"Moreno, Giovanni",VOL,RAC,10000000,6,5,1,5,0,0,3,4,6,3,5,5,12,4,3,15,5,5,87,5.44
"Chávez, Andrés",DEL,BAN,300000,5,4,15,10,6,6,10,21,-1,0,3,3,5,4,6,2,4,0,103,6.44
"Torrén, Miguel",DEF,ARG,3000000,7,4,3,6,7,0,5,7,4,5,0,7,7,6,4,8,2,7,89,5.56
"Iberbia, Raúl",DEF,EST,3200000,5,5,8,8,7,2,15,4,4,4,0,0,6,5,7,6,4,5,95,5.94
"Donnet, Matías",VOL,UNI,3600000,6,5,4,6,6,6,5,5,4,5,3,5,4,11,0,5,5,5,90,5.29
"Pelletieri, Agustín",VOL,RAC,4800000,5,6,7,3,7,6,5,4,6,6,11,6,7,4,3,4,0,0,90,5.63
"Rojas, Ariel",VOL,GOD,5000000,6,6,5,6,4,7,3,0,6,5,5,6,5,4,7,6,6,5,92,5.41
"Carniello, Oscar",DEF,ATR,3100000,7,2,5,3,4,0,5,4,3,5,15,6,0,5,7,5,3,6,85,5.31
"García, Javier",ARQ,TIG,4300000,10,3,13,10,10,4,5,3,3,5,0,4,9,4,5,4,4,8,104,6.12
"Salgueiro, Juan",DEL,SLO,5000000,4,3,0,2,6,5,5,4,2,6,4,9,5,4,5,5,4,4,77,4.53
"Andújar, Mariano",ARQ,EST,6000000,4,3,9,11,15,5,6,1,2,3,2,2,2,7,9,6,0,8,95,5.59
"Boselli, Mauro",DEL,EST,8500000,9,4,4,5,2,10,9,4,10,11,10,3,5,4,0,0,0,0,90,6.43
"Prediger, Sebastián",VOL,COL,4300000,5,2,5,2,0,5,0,10,5,0,5,5,5,12,5,4,4,7,81,5.4
"M. y Fabianesi, Iván",VOL,COL,5000000,0,5,12,21,1,0,12,5,4,13,11,2,0,0,6,4,3,6,105,7.5
"Domínguez, Sebastián",DEF,VEL,5000000,5,16,6,8,6,5,5,5,2,0,7,9,5,6,0,8,5,4,102,6.38
"Gandín, Darío",DEL,ATR,5100000,13,4,0,9,6,5,5,4,10,4,10,5,8,5,5,0,0,0,93,6.64
"Orion, Agustín",ARQ,BOC,6200000,10,13,10,9,-2,8,2,9,5,3,5,9,0,9,9,9,0,1,109,6.81
"Carbonero, Carlos",VOL,ARS,3000000,4,6,7,6,6,4,4,6,0,0,0,0,0,13,12,5,7,9,89,6.36
"Giménez, Matias",VOL,BEL,3000000,5,2,3,4,13,6,5,4,0,3,12,5,1,5,0,0,6,6,80,5.33
"Quinteros, Marcelo",VOL,BAN,3300000,4,4,5,5,3,4,5,6,4,4,4,4,12,4,5,4,5,2,84,4.67
"Rodríguez, Patricio",VOL,IND,4500000,4,5,4,0,6,4,6,6,4,11,5,5,4,4,4,4,3,0,79,4.94
"Fritzler, Matías",VOL,LAN,4600000,13,0,3,5,6,0,5,7,0,7,6,5,0,12,3,6,6,3,87,6.21
"Desábato, Leandro",DEF,EST,5000000,4,4,11,6,0,6,5,2,0,0,5,3,6,20,9,3,0,7,91,6.07
"Ortiz, Fernando",DEF,VEL,5000000,4,8,5,7,8,5,5,7,0,6,7,6,0,0,6,7,5,4,90,6
"Schiavi, Rolando",DEF,BOC,6900000,8,4,0,0,4,7,4,6,6,4,4,6,0,8,0,10,6,1,78,5.57
"Lértora, Federico",VOL,GOD,2100000,3,0,0,5,3,2,6,6,6,5,11,6,2,6,4,0,6,2,73,4.87
"Landa, Lucas",DEF,SMA,3700000,8,4,6,6,5,5,6,5,4,3,4,7,6,4,6,5,5,0,89,5.24
"Avendaño, Juan",DEF,UNI,4000000,5,7,4,4,8,6,5,3,0,6,3,8,0,-1,0,9,6,12,85,5.67
"Turus, Gastón",DEF,BEL,4300000,7,4,7,8,5,4,5,8,4,7,3,0,2,4,8,5,5,5,91,5.35
"Villalba, Hernán",VOL,NOB,2000000,0,0,0,0,0,6,3,7,5,4,5,3,6,7,5,3,5,5,64,4.92
"Viola, Valentín",DEL,RAC,2500000,0,6,5,5,6,0,0,0,0,0,7,10,6,8,6,5,10,6,80,6.67
"Bogado, Mauro",VOL,SMA,3000000,11,5,8,6,6,5,3,3,13,4,0,4,5,2,5,3,6,5,94,5.53
"Ibáñez, Nelson",ARQ,GOD,3500000,0,14,3,6,5,5,5,5,5,6,9,5,4,6,4,2,2,1,87,5.12
"Fuertes, Esteban",DEL,COL,8600000,0,0,9,2,4,-2,0,0,5,0,10,2,10,4,4,4,3,20,75,5.36
"Obolo, Mauro I.",DEL,VEL,9000000,10,9,6,6,1,6,5,5,5,5,5,5,3,4,0,5,10,5,95,5.59
"Sánchez Miño, J. M.",VOL,BOC,900000,0,0,0,17,7,5,5,8,0,0,6,0,6,6,11,0,5,4,80,7.27
"Ceballos, Lucas",DEF,GOD,2100000,0,8,0,0,5,5,2,5,5,4,9,3,0,5,6,5,5,4,71,5.07
"Mancinelli, Federico",DEF,OLI,2800000,0,4,5,4,5,5,11,4,4,3,6,4,5,6,5,5,0,0,76,5.07
"Orban, Lucas",DEF,TIG,2900000,5,7,8,9,9,4,3,5,3,6,8,7,0,-1,0,6,4,9,92,5.75
"Fissore, Matías",VOL,ATR,3000000,13,5,4,0,0,4,6,5,4,0,16,5,4,4,0,5,5,5,85,6.07
"Pérez García, Matías",VOL,ALB,3400000,2,0,0,0,0,0,5,2,0,0,12,11,5,0,7,5,12,4,65,6.5
"Nervo, Hugo M.",DEF,ARS,3400000,7,5,5,0,7,0,5,8,4,5,6,2,6,6,3,0,5,6,80,5.33
"Marcone, Iván",VOL,ARS,3500000,5,5,5,5,5,6,3,0,5,6,5,2,5,6,3,5,5,7,83,4.88
"Bordagaray, Fabián",DEL,ARG,3800000,5,3,4,8,6,4,5,20,5,3,4,0,0,0,0,5,6,5,83,5.93
"Sabia, Juan",DEF,ARG,3900000,7,5,3,0,6,7,5,7,0,1,0,7,7,3,5,7,1,7,78,5.2
"Regueiro, Mario",VOL,LAN,8600000,0,5,3,4,0,4,11,0,5,9,0,0,0,3,6,4,16,5,75,5.77
"Zuculini, Bruno",VOL,RAC,2100000,0,0,0,0,3,5,4,4,4,-1,0,5,3,3,5,5,10,12,62,4.77
"Lollo, Luciano",DEF,BEL,2700000,0,3,6,8,0,3,5,7,3,0,6,5,4,4,7,6,6,6,79,5.27
"Alvarado, Pablo",VOL,SLO,2800000,0,6,4,5,10,5,2,6,5,6,4,5,5,3,5,3,3,0,77,4.81
"Aveldaño, Lucas",DEF,RAC,3700000,0,0,0,3,5,8,3,6,4,0,7,4,17,4,0,0,0,4,65,5.42
"Alvarez, Cristian",VOL,SMA,3000000,0,0,0,0,0,5,8,5,5,0,0,6,3,5,6,8,4,6,61,5.55
"Bella, Iván",VOL,VEL,3500000,0,0,5,0,17,11,0,11,0,0,0,6,5,0,6,0,5,0,66,8.25
"Penco, Sebastián",DEL,SMA,4000000,4,5,11,6,5,4,4,4,4,4,0,4,3,9,5,10,5,0,87,5.44
"Migliore, Pablo",ARQ,SLO,4500000,0,0,0,0,0,0,0,3,3,10,3,9,9,4,5,4,2,9,61,5.55
"Pellegrino, Maximiliano",DEF,COL,4600000,6,5,5,4,0,3,8,3,8,3,8,5,7,3,8,3,2,0,81,5.06
"Tuzzio, Eduardo",DEF,IND,5000000,6,6,3,5,5,7,2,6,3,0,7,6,0,5,0,7,5,8,81,5.4
"Parra, Facundo",DEL,IND,6200000,0,5,0,4,0,0,0,10,8,20,5,0,9,4,5,0,0,0,70,7.78
"Ortigoza, Néstor",VOL,SLO,8000000,0,13,0,4,9,6,5,4,4,1,3,3,5,4,4,5,5,3,78,4.88
"Laba, Matías",VOL,ARG,3000000,0,0,0,6,4,6,4,3,5,5,5,5,6,6,5,5,1,0,66,4.71
"Escudero, Sergio",DEF,ARG,3600000,7,5,2,5,7,0,0,5,2,5,5,7,7,0,5,8,0,9,79,5.27
"Velázquez, Julián",DEF,IND,4500000,4,7,1,0,5,9,3,6,9,5,0,8,-1,0,4,4,6,2,72,4.8
"Mercado, Gabriel",DEF,EST,5300000,4,5,8,14,8,3,5,5,3,4,0,1,0,7,5,4,0,15,91,6.07
"Zapata, Víctor",VOL,VEL,5300000,6,5,5,5,6,12,4,0,0,0,11,0,4,5,0,6,7,5,81,6.23
"Reta, Alejandro",DEF,BAN,500000,0,0,0,0,7,0,7,13,0,0,5,4,4,5,3,5,6,0,59,5.9
"Caprari, Gastón",DEL,SMA,2800000,10,6,15,4,13,4,4,4,4,4,2,0,2,4,0,10,0,8,94,6.27
"Barzola, Pablo",DEF,ARG,3000000,0,0,5,16,5,6,2,5,3,7,0,7,5,0,4,10,5,0,80,6.15
"Franzoia, Andrés",DEL,OLI,3500000,5,20,7,10,5,3,6,9,5,4,1,0,2,0,5,0,15,4,101,6.73
"Graciani, Gabriel",VOL,COL,1200000,5,4,4,4,4,5,6,6,5,5,3,4,7,5,3,5,0,0,75,4.69
"Affranchino, Facundo",VOL,SMA,3000000,0,4,6,4,6,6,5,5,5,13,4,0,0,0,6,3,0,5,72,5.54
"Rosada, Ariel",VOL,OLI,3400000,4,4,5,5,6,3,0,2,2,2,6,6,5,5,7,6,3,5,76,4.47
"Izquierdoz, Carlos",DEF,LAN,3700000,0,8,0,2,5,6,0,5,4,0,0,16,7,5,0,7,3,0,68,6.18
"Carignano, César",DEL,ATR,3900000,5,6,5,4,0,5,4,2,6,4,4,4,0,0,0,5,10,14,78,5.57
"Bareiro, Néstor",DEL,OLI,4300000,4,10,4,0,0,0,5,4,0,10,0,0,0,7,20,3,5,4,76,6.33
"Cahais, Matías",DEF,RAC,4700000,6,5,2,0,7,5,1,6,0,0,8,4,7,4,3,6,4,3,71,4.73
"Bottinelli, Jonathan",DEF,SLO,4900000,5,7,14,7,0,0,0,0,0,9,6,8,9,6,3,7,3,7,91,7
"Pillud, lván",DEF,RAC,5000000,7,0,4,5,7,8,4,2,4,4,6,4,4,0,3,7,4,1,74,4.63
"Serrano, Walter",VOL,ATR,3400000,5,5,3,4,5,3,5,4,6,3,0,2,5,5,5,5,5,4,74,4.35
"Martínez, Matías",DEF,RAC,4500000,7,3,0,6,6,7,1,3,14,1,0,0,0,4,4,7,5,5,73,5.21
"Roncaglia, Facundo",DEF,BOC,4800000,7,6,0,7,25,8,4,0,5,5,0,0,6,2,0,0,1,1,77,6.42
