Jugador,Puesto,Equipo,Cotización (mill.),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,Acumulado,Promedio
"Kannemann, W",DEF,SLO,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0,5,2.5
"Freire, Federico",VOL,VEL,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5
"Vera, Jesús",DEL,GOD,1000000,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5
"Sánchez, Guillermo",DEF,OLI,1100000,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Corti, Leonardo",ARQ,SMA,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"Litre, Marcos",DEL,OLI,1300000,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,5
"Depetris, Leonardo",DEL,ATR,2000000,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Araujo, Sergio",DEL,BOC,2000000,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Salom, Carlos",DEL,ALB,2100000,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5
"Velázquez, Leandro",VOL,VEL,2800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,5
"Busse, Walter",VOL,IND,3200000,0,4,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,4.25
"Insúa, Emanuel",DEF,BOC,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4
"Correa, Joaquín",VOL,EST,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4
"Pucheta, Eduardo",VOL,VEL,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4
"Blanco, Martín",DEL,VEL,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4
"Rigamonti, César",ARQ,BEL,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"Ruiz, Enzo A.",DEF,BOC,900000,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4
"Niz, Alexis",DEF,ATR,1000000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Gaona Lugo, Orlando",DEL,BOC,1000000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Benítez, Nahuel",DEL,SLO,1300000,0,0,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6
"Orcellet, Catriel",ARQ,ARS,1500000,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4
"Mattia, Francisco",DEF,SMA,1500000,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4.5
"Pepe, Rodrigo",VOL,BAN,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4
"Lluy, Braian",DEF,RAC,2200000,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,4.67
"Ramírez, Jonathan",DEL,VEL,2500000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4
"Pérez, Jorge I.",VOL,IND,2700000,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,5
"Tellechea, Fernando",VOL,SLO,2900000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3.5
"Botta, Rubén",VOL,TIG,3000000,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4
"Fernández, Juan",DEF,ATR,3100000,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Romeo, Bernardo",DEL,SLO,3100000,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4
"Gracián, Leandro",VOL,COL,3900000,6,6,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5.75
"Rodríguez, Lucas",DEF,ARG,600000,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
"Silva, Agustín",ARQ,EST,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
"Pérez Tarifa, Gabriel",DEL,ARG,1800000,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
"Romero, Emiliano",DEL,OLI,2100000,4,8,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4.75
"Filomeno, Lucio",DEL,ATR,2200000,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4
"Barraza, Julio",DEF,COL,2500000,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"Mateo, Diego",VOL,NOB,4100000,11,6,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6.2
"Matheu, Carlos",DEF,IND,4300000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3
"Yacob, Claudio",VOL,RAC,4600000,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,3.33
"Flores, Franco",DEF,ARG,300000,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
"Curuchet, Facundo",DEL,COL,1200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Pacheco, Jonathan",VOL,SLO,1000000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Kruspzky, Lucas",DEF,IND,1200000,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.67
"Mauri, Juan A.",VOL,OLI,1500000,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Fogst, Santiago",DEF,COL,2000000,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6.5
"Núñez, Fabricio",DEL,UNI,2700000,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Luna, Sebastián",DEF,SLO,2800000,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Noir, Ricardo",DEL,NOB,2900000,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.5
"Russo, Roberto",DEF,GOD,3000000,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.5
"Pereyra, Juan P.",DEL,UNI,3700000,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Costa, Tomás",VOL,COL,3800000,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.33
"Peñalba, Gabriel",VOL,ARG,4400000,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4.67
"Coria, Facundo",VOL,EST,4400000,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Defederico, Matías",DEL,IND,4500000,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.67
"Núñez, Leonel",DEL,IND,4700000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"Torrico, Sebastián",ARQ,GOD,4800000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
"Modón, Sergio",DEF,EST,600000,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,2.5
